Source,User ID
Facebook,DJP1612093
Facebook,DJP295013
Organic,DKE1642864
Facebook,DKJ1222311
Organic,DLB261500
Snapchat,DLE17108519
Offline Campaign,DLE6105018
Facebook,DLF7101451
Facebook,DLN988476
Organic,DLT1029778
Instagram,DLU1951585
Organic,DLV1839039
Instagram,DLW1985155
Snapchat,DLW2516716
Google,DMG2164182
Facebook,DMJ1370332
Offline Campaign,DMQ352095
Facebook,DNC2369609
Organic,DNE1247343
Snapchat,DNN523598
Facebook,DNW14108069
Offline Campaign,DNX321561
Google,DNX423571
Instagram,DNZ213848
Google,DOF413662
Organic,DOG1238184
Snapchat,DOG2078222
Offline Campaign,DOH1077073
Offline Campaign,DOH1168739
Google,DOH735013
Google,DOK1642621
Offline Campaign,DOP1254117
Google,DOR2684342
Instagram,DOT1510434
Facebook,DPB625737
Instagram,DPH1883247
Facebook,DPK1011424
Offline Campaign,DQB963531
Google,DQE512729
Facebook,DQU1723532
Facebook,DQW291773
Facebook,DRA713173
Facebook,DRF1771154
Instagram,DRF422650
Google,DRG1988698
Snapchat,DRQ2458977
Google,DRU1694968
Offline Campaign,DRV2474247
Offline Campaign,DSN1864707
Google,DST1115960
Organic,DSY2027267
Offline Campaign,DTG1181882
Instagram,DTH1655767
Snapchat,DTM1480889
Offline Campaign,DTO16105324
Facebook,DTR1224336
Offline Campaign,DTT820886
Organic,DTW939285
Offline Campaign,DTY213188
Offline Campaign,DTY2182749
Instagram,DTZ1354039
Offline Campaign,DUB3107697
Snapchat,DUE2346680
Organic,DUG13108135
Offline Campaign,DUN17100335
Instagram,DUP1546350
Organic,DUU1024747
Instagram,DVC388569
Facebook,DVD1386214
Facebook,DVF2127339
Instagram,DVG1948924
Offline Campaign,DVG2628344
Snapchat,DVT438724
Facebook,DVU1859496
Google,DVZ2154723
Organic,DWC2252452
Offline Campaign,DWE20105867
Snapchat,DWE2426226
Offline Campaign,DWI1140983
Instagram,DWL2599201
Facebook,DWT2145360
Offline Campaign,DWU2259826
Google,DXF1512072
Instagram,DXI2041538
Organic,DXP1544457
Snapchat,DXR710500
Facebook,DYF1746923
Snapchat,DYH1557324
Google,DYP852314
Offline Campaign,DYS990117
Instagram,DYV1697461
Instagram,DZC563924
Google,DZL348165
Instagram,DZO1623748
Offline Campaign,DZO1834482
Facebook,DZR1523931
Offline Campaign,DZR256106
Offline Campaign,DZT2486655
Offline Campaign,EAD2227441
Organic,EAF642186
Offline Campaign,EAH1555989
Offline Campaign,EAH22109719
Offline Campaign,EAN2034320
Google,EAO875873
Facebook,EAP14105225
Snapchat,EAQ1549983
Organic,EAS543857
Snapchat,EBD1819479
Organic,EBK2435202
Facebook,EBK4101841
Instagram,EBR1030405
Offline Campaign,EBT131068
Snapchat,ECF2322344
Offline Campaign,ECK1124558
Offline Campaign,ECO237590
Instagram,ECU1138148
Offline Campaign,ECW1496573
Offline Campaign,EDA6103203
Organic,EDB2413305
Facebook,EDE2531965
Organic,EDF925251
Organic,EDN1343401
Offline Campaign,EDN461941
Organic,EDR872078
Facebook,EDV517082
Google,EDX1418408
Offline Campaign,EDY1875972
Offline Campaign,EED362079
Facebook,EEJ562178
Google,EEL1397047
Facebook,EFH1087582
Facebook,EFM1450679
Google,EFP2244454
Facebook,EGA12102435
Google,EGG1347946
Offline Campaign,EGG3105321
Offline Campaign,EGI189751
Instagram,EGJ1101511
Google,EGJ130789
Offline Campaign,EGK741451
Instagram,EGL1292058
Google,EHB661665
Snapchat,EHG1162448
Facebook,EHL1151420
Instagram,EHS2236036
Snapchat,EHZ1948276
Offline Campaign,EIE858491
Google,EIK2181036
Instagram,EIN353121
Offline Campaign,EIR1756769
Offline Campaign,EIU26100305
Offline Campaign,EIV557975
Snapchat,EJA17102219
Facebook,EJD2057045
Organic,EJE1212876
Offline Campaign,EJE642138
Offline Campaign,EJJ1341559
Snapchat,EKA836969
Instagram,EKE1574712
Snapchat,EKH1073095
Instagram,EKH1677253
Google,EKI1522266
Facebook,EKU646488
Facebook,ELM2389259
Organic,ELP116041
Snapchat,ELT2339963
Offline Campaign,ELT697929
Facebook,ELW12103011
Instagram,EMI912417
Facebook,EMM248468
Instagram,EMQ1297923
Facebook,EMY2154324
Offline Campaign,ENA2443380
Facebook,ENF2070461
Offline Campaign,ENH1279473
Instagram,ENK2568433
Facebook,ENN1197656
Snapchat,ENR160720
Snapchat,ENZ424075
Facebook,EOB2465469
Facebook,EOB2528161
Facebook,EOC5103725
Facebook,EOD337059
Offline Campaign,EOP1388674
Facebook,EOP353967
Facebook,EOU1109410
Organic,EOW858863
Offline Campaign,EPD2520754
Organic,EQE1819779
Instagram,EQO2563750
Offline Campaign,EQY1255671
Offline Campaign,ERD2349974
Instagram,ERH2479008
Offline Campaign,ERI577484
Offline Campaign,ERQ1542684
Snapchat,ERQ2485578
Facebook,ERS1745762
Instagram,ERT1475447
Instagram,ERV1438436
Offline Campaign,ERZ1317715
Organic,ESA1573080
Organic,ESC2136861
Snapchat,ESI1069132
Snapchat,ESN291398
Facebook,ESP1681726
Instagram,ESS2382887
Organic,ESU968547
Instagram,ESX1274961
Instagram,ESY1331209
Snapchat,ETE774583
Facebook,ETN1689499
Google,ETN2393642
Organic,ETO2154033
Google,ETP1260972
Offline Campaign,ETP834392
Offline Campaign,ETV2589679
Facebook,ETW1698934
Google,ETX988998
Instagram,EUG1693294
Facebook,EUL860450
Organic,EUN2350847
Snapchat,EUQ1478084
Snapchat,EUU655302
Snapchat,EVC2698721
Instagram,EVH26104634
Snapchat,EVN1646686
Snapchat,EVQ1210095
Facebook,EVS713536
Instagram,EVV2351795
Instagram,EVX1139798
Instagram,EVX1445990
Instagram,EWA1689427
Offline Campaign,EWA215675
Facebook,EWB1974682
Organic,EWE554306
Instagram,EWH922182
Organic,EWK1781732
Facebook,EWK2171367
Offline Campaign,EXA2669468
Snapchat,EXK191254
Snapchat,EXR16101706
Offline Campaign,EXS1477367
Instagram,EXX233882
Organic,EYH2226841
Instagram,EYK1435982
Google,EYL2311682
Offline Campaign,EYO2696132
Offline Campaign,EYR18107613
Offline Campaign,EYY167614
Google,EZB1994749
Snapchat,EZD1899258
Snapchat,EZM436924
Instagram,EZN2051495
Instagram,EZS196987
Facebook,EZU1041061
Facebook,EZY1091809
Snapchat,EZY1497443
Facebook,FAG674901
Organic,FAH375687
Offline Campaign,FAM1355188
Google,FAN2290474
Google,FAU1584918
Facebook,FBB2096153
Organic,FBD26100896
Instagram,FCB69285
Snapchat,FCY1075240
Snapchat,FCY570788
Facebook,FCZ296810
Snapchat,FDK1540818
Organic,FDO1013281
Organic,FDQ1113290
Google,FDW177668
Organic,FDX1957303
Organic,FEC1614526
Google,FEC2030828
Snapchat,FEL2481708
Snapchat,FEO2584822
Offline Campaign,FEU2048855
Offline Campaign,FEX932499
Snapchat,FFE2172186
Instagram,FFL1582818
Organic,FFL212249
Organic,FFL2590159
Offline Campaign,FFP338196
Offline Campaign,FFR15102477
Offline Campaign,FFW358485
Facebook,FGO914535
Offline Campaign,FGR936837
Instagram,FHK1093150
Instagram,FHQ971028
Organic,FHT741016
Organic,FIF616023
Organic,FIJ912924
Google,FIL2532751
Instagram,FIQ1737428
Snapchat,FIR1988512
Organic,FJA2039069
Organic,FJJ386895
Offline Campaign,FJK3104556
Organic,FJR1348156
Instagram,FJW123616
Instagram,FJW2448783
Offline Campaign,FJZ1597635
Snapchat,FKB24104067
Facebook,FKE880823
Instagram,FLO796471
Facebook,FLQ1317589
Instagram,FLV1616626
Google,FLZ1240191
Google,FLZ1657459
Google,FME229001
Instagram,FMQ1427936
Offline Campaign,FMY2029691
Instagram,FMY740623
Facebook,FNB1379512
Facebook,FNB434323
Snapchat,FNB569105
Snapchat,FNE1958596
Snapchat,FNK415777
Snapchat,FNN765541
Instagram,FNT462541
Google,FNX121666
Snapchat,FOA2229967
Google,FOB1338607
Snapchat,FOB14102081
Instagram,FOS1324285
Offline Campaign,FOT1645822
Offline Campaign,FOT2635475
Offline Campaign,FOW1954861
Offline Campaign,FPB820652
Snapchat,FPI1477211
Offline Campaign,FPL2478210
Offline Campaign,FPT2171352
Snapchat,FPY616425
Snapchat,FQB863819
Offline Campaign,FQD439588
Organic,FQR227612
Snapchat,FQS23104055
Google,FQT478153
Facebook,FQU1684948
Google,FRB1738985
Organic,FRK944484
Organic,FRP2123457
Facebook,FRU1236282
Instagram,FSE862238
Snapchat,FSF2485194
Instagram,FSK970341
Facebook,FSW1945933
Google,FTF2314451
Organic,FTL356868
Google,FTV1549383
Snapchat,FTY26105285
Snapchat,FUK2694131
Offline Campaign,FUU1349896
Offline Campaign,FUZ577571
Offline Campaign,FVC1656136
Offline Campaign,FVM977676
Facebook,FVO17108330
Offline Campaign,FVW921705
Google,FVX108073
Offline Campaign,FWF832868
Snapchat,FWG543830
Organic,FWI1698586
Offline Campaign,FWW1746938
Facebook,FXE1176308
Offline Campaign,FXN254741
Organic,FXN448183
Offline Campaign,FXP1589229
Snapchat,FYE2180091
Instagram,FYF1786073
Offline Campaign,FYI2334494
Facebook,FYM2041865
Offline Campaign,FYN1101628
Offline Campaign,FYZ1533957
Google,FZB289037
Instagram,FZC1877826
Instagram,FZK2231749
Facebook,FZK59600
Offline Campaign,FZS242453
Snapchat,FZV188847
Snapchat,GAF963144
Snapchat,GAG1455563
Offline Campaign,GAJ1459214
Snapchat,GAL258992
Offline Campaign,GBA2280769
Snapchat,GBH2310833
Facebook,GBN1282929
Snapchat,GBN8102189
Instagram,GBO2579857
Organic,GBO4103980
Google,GCB1448441
Offline Campaign,GCM1893684
Facebook,GDD1395730
Google,GDF423244
Instagram,GDF716278
Organic,GDK273236
Offline Campaign,GDQ23102738
Facebook,GDR1344199
Snapchat,GDU1775663
Facebook,GDZ392685
Facebook,GEE2499381
Organic,GEG1372861
Snapchat,GEI761335
Organic,GEO1481825
Snapchat,GEZ853016
Offline Campaign,GFD1348522
Offline Campaign,GFJ156880
Snapchat,GFR1520295
Organic,GFS385932
Facebook,GFX2194653
Offline Campaign,GGA817427
Instagram,GGA916647
Google,GGC1611049
Instagram,GGJ24101142
Google,GGL218870
Snapchat,GHI1359301
Instagram,GHI534974
Organic,GHK268589
Snapchat,GHN1329964
Facebook,GHQ4105333
Organic,GIA1797104
Snapchat,GIA238253
Google,GIB767221
Facebook,GIG449560
Organic,GIN2168322
Snapchat,GIS2352530
Snapchat,GIT1753139
Offline Campaign,GIT561101
Organic,GIW1952701
Facebook,GJB2076101
Offline Campaign,GJK2375894
Instagram,GJW261224
Instagram,GJY1623079
Organic,GKB16109590
Organic,GKG987630
Instagram,GKJ2100059
Instagram,GKL465376
Offline Campaign,GKU1099708
Offline Campaign,GLF1662166
Organic,GLJ2271700
Instagram,GLK1685161
Organic,GLM812750
Google,GMA980853
Snapchat,GML1846770
Facebook,GMR2168454
Facebook,GMS2610791
Snapchat,GMV1053637
Instagram,GND787696
Organic,GNE268184
Offline Campaign,GNF1949794
Facebook,GNI1738445
Snapchat,GNQ843836
Offline Campaign,GNR298466
Facebook,GNX1146968
Instagram,GNZ421318
Offline Campaign,GOA322302
Facebook,GOM1033870
Instagram,GOU269480
Snapchat,GOV15102813
Facebook,GOY172795
Offline Campaign,GPC5109596
Offline Campaign,GPS1949386
Offline Campaign,GPS20103869
Facebook,GPY1326148
Facebook,GQC1711232
Instagram,GQE740200
Organic,GQF271043
Organic,GRE224195
Facebook,GRO1533279
Instagram,GRP633222
Instagram,GRQ1888077
Instagram,GRS27371
Offline Campaign,GRV2543200
Snapchat,GSA1287384
Organic,GSH878828
Snapchat,GSW2596096
Organic,GTA2033438
Offline Campaign,GTG1625221
Snapchat,GTS1627426
Instagram,GUL1183562
Instagram,GUO2089322
Organic,GUV577715
Snapchat,GUY1255695
Snapchat,GVD1085560
Instagram,GVE1778855
Instagram,GVH2084426
Snapchat,GVH2528827
Snapchat,GVH812303
Facebook,GVN596165
Instagram,GVO228809
Snapchat,GWK277421
Facebook,GWL110338
Snapchat,GWT2466411
Google,GWV14104514
Snapchat,GWZ2676209
Instagram,GXA1186142
Snapchat,GXK966693
Google,GXO626361
Offline Campaign,GXP393912
Snapchat,GXS2558176
Organic,GXS7101697
Google,GXY798211
Google,GXZ11104895
Instagram,GYH1036783
Instagram,GYN2494260
Offline Campaign,GYV2158578
Google,GZC1282599
Facebook,GZE340881
Google,GZF690336
Instagram,GZI1965178
Instagram,GZP2230594
Google,GZT1253004
Organic,GZT2639765
Facebook,HAC1341055
Organic,HAD915798
Facebook,HAF1176413
Instagram,HAG21106059
Instagram,HAU2273803
Organic,HAU569807
Instagram,HAY341670
Google,HAZ1811967
Facebook,HAZ213275
Google,HBH1529931
Offline Campaign,HBN496567
Snapchat,HCB594104
Snapchat,HCF1033627
Offline Campaign,HCI2534086
Facebook,HCL2178441
Offline Campaign,HCQ1393990
Organic,HCR1154879
Snapchat,HCS12108024
Offline Campaign,HCW885197
Google,HDD740884
Facebook,HDF2146542
Facebook,HDG184468
Organic,HDG415186
Snapchat,HDK1829313
Facebook,HDM2142615
Snapchat,HDQ10102765
Google,HDS1653286
Facebook,HDS347676
Organic,HDW1381747
Facebook,HDX2078651
Instagram,HEA2398184
Google,HEE140569
Facebook,HEE2596954
Facebook,HEL2238055
Facebook,HEN845924
Facebook,HEP2463828
Offline Campaign,HEU1440722
Google,HEU858512
Organic,HEV868259
Facebook,HEW1259604
Google,HFA530429
Facebook,HFC2379083
Google,HFG2572771
Organic,HFJ1032967
Snapchat,HFJ18108459
Facebook,HFL1671784
Instagram,HFL2238403
Snapchat,HFS2443686
Organic,HFW1460012
Offline Campaign,HGL15100389
Snapchat,HGL2168145
Instagram,HHD1575822
Offline Campaign,HHV631947
Google,HHV936834
Facebook,HHY1742927
Offline Campaign,HHZ349008
Snapchat,HIB1648786
Snapchat,HIE2652692
Google,HIP1317778
Offline Campaign,HIQ2160360
Google,HIZ1713455
Organic,HJH1790225
Offline Campaign,HJH1975993
Organic,HJL1111865
Facebook,HJP576476
Organic,HJR1260699
Snapchat,HKA1102117
Facebook,HKK1852860
Facebook,HLD313005
Facebook,HLF2648036
Snapchat,HLH2675924
Instagram,HLJ1461158
Organic,HLQ1365652
Facebook,HLZ787486
Instagram,HMA1012921
Organic,HMK1666003
Facebook,HNQ1674649
Snapchat,HOB2391791
Instagram,HOC336906
Snapchat,HOC857927
Offline Campaign,HOD1755722
Snapchat,HOF1789535
Google,HOI2026844
Facebook,HOJ1580673
Offline Campaign,HOK1397308
Snapchat,HON675186
Facebook,HOO2562106
Facebook,HOQ1672654
Offline Campaign,HOR1716053
Snapchat,HOT839744
Facebook,HOW2349683
Offline Campaign,HOX317142
Instagram,HOX596711
Offline Campaign,HOY372423
Instagram,HPB2069684
Snapchat,HPF2044991
Facebook,HPR1543164
Offline Campaign,HPW253523
Offline Campaign,HQN1279314
Instagram,HQN2252836
Snapchat,HQW1173368
Facebook,HQY718678
Instagram,HRE2243224
Snapchat,HRF1220502
Snapchat,HRH1724054
Offline Campaign,HRH2106971
Instagram,HRL2104829
Snapchat,HRN1349779
Organic,HRR8109173
Organic,HRZ197143
Organic,HSB1717925
Instagram,HSG2695400
Facebook,HSJ1098199
Snapchat,HSJ438925
Organic,HSR2018630
Snapchat,HSW2411568
Snapchat,HTC2274613
Facebook,HTD1191722
Instagram,HTD679242
Instagram,HTF1422455
Snapchat,HTM2276944
Offline Campaign,HTO2010050
Snapchat,HTP2184423
Facebook,HTU1793861
Offline Campaign,HTX13105147
Instagram,HUX168040
Facebook,HVE1776965
Facebook,HVL856274
